[2019-07-22 14:22:07] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1227839232]
[2019-07-22 14:25:07] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:25:08] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:25:08] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1954735872]
[2019-07-22 14:25:08] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1744828160]
[2019-07-22 14:25:08] | CInterfaceManager.cpp-L1208: getfcnt [1], getfcntsucceed[0], totalRecv[0] 
[2019-07-22 14:25:08] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-07-22 14:25:08] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-07-22 14:28:24] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:28:24] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:28:24] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[2071979776]
[2019-07-22 14:28:24] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[2063587072]
[2019-07-22 14:29:26] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:29:26] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:29:26] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1610615040]
[2019-07-22 14:29:26] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1619007744]
[2019-07-22 14:31:09] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:31:09] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:31:09] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-766527744]
[2019-07-22 14:31:09] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-774920448]
[2019-07-22 14:45:46] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:45:47] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:45:47] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1199564544]
[2019-07-22 14:45:47] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1191171840]
[2019-07-22 14:45:52] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:45:53] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:45:53] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[919586560]
[2019-07-22 14:45:53] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[911193856]
[2019-07-22 14:45:56] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:45:58] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:45:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:45:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[25786112]
[2019-07-22 14:45:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[17393408]
[2019-07-22 14:47:04] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:47:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:47:05] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1994078464]
[2019-07-22 14:47:05] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2002471168]
[2019-07-22 14:47:59] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:47:59] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:47:59] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1693681408]
[2019-07-22 14:47:59] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1476392704]
[2019-07-22 14:48:07] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:48:07] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:48:07] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1523566336]
[2019-07-22 14:48:07] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1515173632]
[2019-07-22 14:49:11] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:49:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:49:12] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-862853376]
[2019-07-22 14:49:12] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1073744128]
[2019-07-22 14:54:14] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:54:14] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:54:14] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-825243904]
[2019-07-22 14:54:14] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-833636608]
[2019-07-22 14:56:37] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:56:37] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:56:37] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-142612736]
[2019-07-22 14:56:37] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-134220032]
[2019-07-22 14:59:30] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:59:30] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:59:30] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1763112704]
[2019-07-22 14:59:30] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1754720000]
[2019-07-22 15:00:51] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 15:00:52] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 15:00:52] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1333782272]
[2019-07-22 15:00:52] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1325389568]
[2019-07-22 15:04:43] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 15:04:43] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 15:04:43] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[172996352]
[2019-07-22 15:04:43] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[164603648]
[2019-07-22 15:09:04] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 15:09:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 15:09:04] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[226289408]
[2019-07-22 15:09:04] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[217896704]
[2019-07-22 15:10:08] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 15:10:08] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 15:10:08] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1275070720]
[2019-07-22 15:10:08] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1283463424]
[2019-09-04 11:35:09] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-09-04 11:35:09] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [174848]
[2019-09-04 11:35:09] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1182828800]
[2019-09-04 11:35:09] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1191221504]
[2019-09-04 11:35:12] | CInterfaceManager.cpp-L1208: getfcnt [13], getfcntsucceed[0], totalRecv[0] 
[2019-09-04 11:35:12] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-09-04 11:35:12] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-09-04 11:38:04] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-09-04 11:38:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [174848]
[2019-09-04 11:38:04] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[323999488]
[2019-09-04 11:38:04] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[315606784]
[2019-09-04 11:38:07] | CInterfaceManager.cpp-L1208: getfcnt [13], getfcntsucceed[0], totalRecv[0] 
[2019-09-04 11:38:07] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-09-04 11:38:07] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-09-04 11:41:55] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-09-04 11:41:56] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [174848]
[2019-09-04 11:41:56] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-792750336]
[2019-09-04 11:41:56] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1006635264]
[2019-09-04 11:42:39] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-09-04 11:42:39] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [174848]
[2019-09-04 11:42:39] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-816851200]
[2019-09-04 11:42:39] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-825243904]
[2019-09-04 11:46:14] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-09-04 11:46:14] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [174848]
[2019-09-04 11:46:14] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1647986944]
[2019-09-04 11:46:14] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1656379648]
[2019-09-04 11:46:40] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-09-04 11:46:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [174848]
[2019-09-04 11:46:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-134220032]
[2019-09-04 11:46:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-142612736]
[2019-09-04 15:42:32] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
